1,Shirley States-Simmons,Be Quiet and Still,2008,
2,Shirley Simmons,Winter Oaks - Los Palos,1996,102
3,Shirley States-Simmons,Summer Still Life,2007,455
4,Shirley States-Simmons,Cholla,2000,207
5,Shirley Simmons,Canyonlands Sunset,1993,39
6,Shirley States-Simmons,"MountaiN/Air ""Lois' Backyard""",1998,171
7,Shirley States-Simmons,"""Lee's Ferry on the Colorado",1994,70
8,Shirley States-Simmons,Red flower,2004,329
9,Shirley States-Simmons,White Hat (Lenora Romero,2000,232
10,Shirley Simmons,Texas Creek,1994,52
11,Shirley States-Simmons,Shavano Reflections,1997,164
12,Shirley States-Simmons,Maple Trail,2003,297
13,Shirley States-Simmons,Folded Balloon,2008,505
14,Wray Simmons,N/A,N/A,
15,Wray Simmons,N/A,N/A,
16,Shirely Simmons,N/A,N/A,
17,Wray Simmons,N/A,N/A,
18,unknown,N/A,N/A,
19,unknown,N/A,N/A,
20,unknown,N/A,N/A,
21,unknown,N/A,N/A,
22,unknown,N/A,N/A,
23,Shirely Edaim,N/A,N/A,
24,unknown,N/A,N/A,
25,Shirley States-Simmons,Apples + Matchweed,2006,401
26,unknown,N/A,N/A,
27,unknown,N/A,N/A,
28,unknown,N/A,N/A,
29,unknown,N/A,N/A,
30,unknown,N/A,N/A,
31,unknown,N/A,N/A,
32,unknown,N/A,N/A,
33,Shirely Simmons,N/A,N/A,
34,unknown,Near Baranca Canyon,N/A,
35,unknown,N/A,N/A,
36,unknown,N/A,N/A,
37,unknown,N/A,N/A,
38,Shirely States-Simmons,Grass gone to seed (Manzanos),1997,166
39,Wray Simmons,(West Mesa - Alb),1960,
40,unknown,N/A,N/A,
41,unknown,N/A,N/A,
42,Wray Simmons,N/A,N/A,
43,Shirely States-Simmons,Alpine,2002,284
44,unknown,N/A,N/A,
45,Shirely States-Simmons,We sat by Los Palos creek,1997,168
46,Shirely States-Simmons,Sunset Snow,1995,75
47,unknown,N/A,N/A,
48,Shirely States-Simmons,N/A,N/A,
49,Wray Simmons,N/A,N/A,
50,unknown,N/A,N/A,
51,unknown,N/A,N/A,
52,unknown,N/A,N/A,
53,Shirely States-Simmons,Spring Marvel,2004,325
54,Shirely States-Simmons,Old Tree - stained glass,N/A,24
55,Shirely States-Simmons,N/A,N/A,
56,Shirely States-Simmons,Catching Stars,2002,276
57,Shirely States-Simmons,The Source,N/A,
58,Shirely States-Simmons,N/A,N/A,
59,unknown,N/A,N/A,
60,unknown,N/A,N/A,
61,unknown,N/A,N/A,
62,Shirely States-Simmons,Waiting Time,2008,502
63,Shirely States-Simmons,N/A,1995,76
64,Shirely States-Simmons,Utah Skirts,1998,177
65,Shirely States-Simmons,"""the olive tree lives on"" in Jerusalem",2006,405
66,Shirely States-Simmons,N/A,N/A,
67,Shirely States-Simmons,White Rocks,1996,104
68,Shirely States-Simmons,Pink + Orange Fourth of July Canyon,1995,87
69,Shirely States-Simmons,N/A,N/A,
70,Shirely States-Simmons,An Iris for Mary Sumwalt,1999,197
71,Shirely States-Simmons,Yellow Rose ~ Celebration,1999,199
72,Shirely States-Simmons,"Flower Market San Andreas Tuxla, Mexico",1996,112
73,Shirely States-Simmons,Pokey the Scout,1996,113
74,Wray Simmons,N/A,N/A,
75,Shirely States-Simmons,Moon on the Dune,2000,224
76,Shirely Simmons,Taos Ski Valley,1996,103
77,unknown,N/A,N/A,
78,unknown,Slickrock and Water,N/A,
79,Shirely States-Simmons,Canyon Morning,2000,239
80,Shirely States-Simmons,The Play House,2005,
81,Shirely States-Simmons,Palo verde,1997,152
82,Shirely States-Simmons,Ocean Sunset - San Diego,2001,246
83,Wray Simmons,N/A,N/A,
84,Shirely States-Simmons,Red Rose,1995,79
85,Shirely States-Simmons,White Cat,1994,51
86,Shirely States-Simmons,Iron Mountain (ArizoN/A),1997,153
87,Wray Simmons,Manzano Color,N/A,
88,Shirely States-Simmons,N/A,N/A,
89,Shirely States-Simmons,Melting Mountains,1998,186
90,Shirely States-Simmons,Velvet Folds,1993,27
91,Shirely States-Simmons,N/A,N/A,
92,unknown,N/A,N/A,
93,Shirely States-Simmons,Church at Manzano,1992,
94,Shirely States-Simmons,Cliff - Late Afternoon,2002,247
95,Shirely States-Simmons,Two Red Trees,2002,278
96,Shirely States-Simmons,Moonlit Rose,2007,451
97,Wray Simmons,Sandia Mts from Crest above Cienega Trail,N/A,
98,Shirely States-Simmons,August Sunset - Estancia Valley N.M,2003,10/1900
